Name,Email,Faculty,Role,Password,campsWithdrawn
CHERN,YCHERN@e.ntu.edu.sg,SCSE,attendee,p,
KOH,KOH1@e.ntu.edu.sg,ADM,committee,p,
BRANDON,BR015@e.ntu.edu.sg,EEE,committee,password,
CALVIN,CT113@e.ntu.edu.sg,SCSE,committee,password,
CHAN,YCN019@e.ntu.edu.sg,NBS,attendee,password,
DENISE,DL007@e.ntu.edu.sg,SCSE,attendee,password,
DONG,DON84@e.ntu.edu.sg,ADM,attendee,password,
ERNEST,ELI34@e.ntu.edu.sg,EEE,attendee,password,
LEE,LE51@e.ntu.edu.sg,SCSE,committee,password,
LIU,SL22@e.ntu.edu.sg,NBS,attendee,password,
RAWAL,AKY013@e.ntu.edu.sg,SSS,attendee,password,
LIN,L22@e.ntu.edu.sg,NBS,committee,p,
t,t@e.ntu.edu.sg,SCSE,attendee,t,
